round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score
20,0.2798913444055522,0.8986347517730496,0.36640275911764897,0.8737765957446808,0.8761202692985535,0.8737765550613403,0.8728361129760742
21,0.27623061115377917,0.8997960992907802,0.36175418875001847,0.8729255319148936,0.8749227523803711,0.8729255199432373,0.8719195127487183
22,0.2698945771853261,0.9014716312056738,0.35950698077361637,0.8754255319148936,0.8773578405380249,0.8754255175590515,0.8747243285179138
23,0.266691342480844,0.902145390070922,0.35669508988552906,0.8756382978723404,0.8765134811401367,0.8756383657455444,0.8750513195991516
24,0.26095316587247164,0.904459219858156,0.355600774684485,0.875904255319149,0.8790490627288818,0.8759042620658875,0.8751763701438904
25,0.25721056436994344,0.9040691489361702,0.3511779760902232,0.8773936170212766,0.8790181875228882,0.8773936033248901,0.8763899207115173
26,0.2528687240922467,0.9063563829787235,0.3519389824347293,0.8767021276595744,0.8781225681304932,0.876702070236206,0.8760649561882019
27,0.24914013784897268,0.9077127659574468,0.34776032074017726,0.8796808510638298,0.8814952969551086,0.879680871963501,0.8786234259605408
28,0.2451635574912058,0.9085904255319149,0.3475504294037819,0.8792553191489362,0.8818557858467102,0.8792552947998047,0.878515362739563
29,0.24188560583886315,0.9099113475177305,0.34719141675753795,0.8802127659574468,0.8813506364822388,0.8802127838134766,0.879543125629425
30,0.23792486526683,0.9112056737588653,0.34540153992302874,0.8811170212765957,0.8823877573013306,0.8811169862747192,0.880051851272583
31,0.23422147490130407,0.9120567375886525,0.34430317818484407,0.8795744680851064,0.8811485767364502,0.8795744776725769,0.8792212605476379
32,0.23033137466867473,0.9131914893617021,0.34539733074129897,0.8797872340425532,0.8825563788414001,0.879787266254425,0.878943681716919
33,0.22844612843023468,0.9138652482269504,0.34436192736029625,0.8797872340425532,0.8823673725128174,0.8797872066497803,0.8789975047111511
34,0.22569203973328364,0.9147251773049645,0.34167061912569596,0.8787234042553191,0.8805593252182007,0.8787233829498291,0.8780425786972046
35,0.22170809442342543,0.9159751773049646,0.34278484005877313,0.8800531914893617,0.8816457986831665,0.8800531625747681,0.8792991638183594
36,0.2194096100255715,0.9167109929078014,0.34174286320488506,0.8812234042553192,0.8827685117721558,0.8812234401702881,0.8804330825805664
37,0.21637789120332912,0.9175709219858156,0.3410795659143874,0.8820212765957447,0.8839021921157837,0.8820213079452515,0.8813369274139404
38,0.21374891588484193,0.9183333333333333,0.3398625237986128,0.881436170212766,0.8825439214706421,0.8814362287521362,0.8805850744247437
39,0.21123443513543919,0.91947695035461,0.33905208118735475,0.8796276595744681,0.8798910975456238,0.8796276450157166,0.8790990710258484
40,0.20795074795613872,0.9203812056737589,0.3393883017149377,0.8815425531914893,0.8831479549407959,0.8815425634384155,0.880633533000946
41,0.2058699413363703,0.9211879432624114,0.3384588785628055,0.8825531914893617,0.8836985230445862,0.882553219795227,0.8816946148872375
42,0.20292450906626272,0.9225975177304965,0.3369869131674158,0.8826063829787234,0.8830657005310059,0.8826063871383667,0.8819563388824463
43,0.2003408583230339,0.9227748226950354,0.33944764012034906,0.8822340425531915,0.8836753964424133,0.8822340369224548,0.8816231489181519
44,0.19726363758842216,0.9236347517730497,0.34070605871842263,0.8811170212765957,0.8819789886474609,0.8811169862747192,0.8806565999984741
45,0.1950851171809176,0.9250354609929078,0.33930806680879694,0.8827127659574469,0.8837583065032959,0.882712721824646,0.8821085095405579
46,0.1941069830665596,0.9246099290780142,0.3397942343132293,0.8814893617021277,0.8828802704811096,0.8814893960952759,0.880924642086029
47,0.1912014115204645,0.9255407801418439,0.3398789842712118,0.8809574468085106,0.8825187087059021,0.8809574842453003,0.8803347945213318
48,0.18868939473660307,0.9262322695035461,0.3410367129489462,0.8807978723404255,0.8828677535057068,0.8807979226112366,0.880224347114563
49,0.1867538816568851,0.9266755319148936,0.3405711642922239,0.8818617021276596,0.8825775980949402,0.8818617463111877,0.88135826587677
50,0.1844219470610479,0.9277570921985816,0.3428649426774776,0.88,0.8811101913452148,0.8799999952316284,0.8793573379516602
51,0.18215736885470873,0.9288652482269504,0.3420688424338686,0.8826063829787234,0.8841731548309326,0.8826063871383667,0.8814712166786194
52,0.17902470748138397,0.9298049645390071,0.34203292381890277,0.8823404255319149,0.8830744028091431,0.8823404312133789,0.8820318579673767
53,0.17796236762945403,0.9300354609929078,0.34076706177376687,0.8824468085106383,0.883495569229126,0.882446825504303,0.8816326856613159
54,0.1760394456490861,0.930895390070922,0.34198028792409185,0.8837234042553191,0.8851115107536316,0.8837234377861023,0.8829816579818726
55,0.17370381776312802,0.9317641843971631,0.342826274877533,0.8822340425531915,0.8834460973739624,0.8822340369224548,0.8819174766540527
56,0.1725403193567701,0.9326950354609929,0.34413336518597093,0.8817553191489361,0.882515549659729,0.8817553520202637,0.8810815215110779
57,0.17053868872120131,0.9326507092198582,0.3444587274434719,0.8817021276595745,0.8832253217697144,0.881702184677124,0.8812403678894043
58,0.16762111467385254,0.9340070921985816,0.3467440862763435,0.8828723404255319,0.8854596018791199,0.8828722834587097,0.8819580078125
59,0.16647423423058022,0.9338563829787234,0.3451380948437021,0.8835106382978724,0.885504961013794,0.8835105895996094,0.8826209306716919
60,0.16394666669306557,0.9350709219858157,0.3465932333802289,0.8845212765957446,0.8851514458656311,0.8845213055610657,0.8837395906448364
61,0.16253318444434356,0.9357712765957447,0.3467760221596728,0.8829787234042553,0.8846702575683594,0.8829787373542786,0.8823027610778809
62,0.1596403658489122,0.9365248226950355,0.3471270020496338,0.8831382978723404,0.8836517333984375,0.8831382989883423,0.8826577067375183
63,0.15898827976829552,0.9363829787234043,0.3490540973366575,0.8825,0.8833650350570679,0.8824999928474426,0.882032573223114
64,0.15875937282547425,0.9356737588652482,0.34835372040880486,0.8832446808510638,0.8839293122291565,0.8832446932792664,0.8829169869422913
65,0.15432169496470646,0.9382712765957447,0.35115270926914316,0.8836702127659575,0.8846080303192139,0.8836702108383179,0.8828551173210144
66,0.15326942640925587,0.9385283687943262,0.3513240008912188,0.8829255319148936,0.8837734460830688,0.8829255700111389,0.8823056817054749
67,0.15102511489526896,0.9393705673758865,0.3519109488326184,0.8840957446808511,0.8844383358955383,0.8840957283973694,0.8836277723312378
68,0.1508539502957674,0.939104609929078,0.3529800528937832,0.8824468085106383,0.8832449316978455,0.882446825504303,0.8817996978759766
69,0.14813265560908204,0.9401950354609929,0.35548978865622205,0.8830851063829788,0.8832468390464783,0.8830851316452026,0.8825985789299011
